"nome","naz","team","tempo.1","tempo.2","tempo.3","tempo.4","tempo.5","tempo.6","tempo.7","tempo.8","tempo.9","tempo.10","tempo.11","tempo.12","tempo.13","tempo.14","tempo.15","tempo.16","tempo.17","tempo.18","tempo.19","tempo.20","tempo.21"
"DOMONT Axel","FRA","ALM",1673,20468,36602,45128,64259,88257,107222,125801,142461,156934,178705,182545,195596,212261,233404,252732,270359,288826,293236,310350,326197
"DUARTE AREVALO Fabio Andres","COL","COL",1565,20360,36494,45020,63827,87697,106662,124361,140380,154853,175750,179458,192509,209284,229285,248887,266514,283916,288382,305709,321625
"DUPONT Hubert","FRA","ALM",1540,20335,36469,44995,63812,87722,106687,124091,140110,154583,175480,179268,192319,209056,229618,247101,264728,282383,286640,303981,319847
"DUQUE Leonardo Fabio","COL","COL",1565,20357,36480,45006,64155,88439,107404,125983,142030,156503,177631,181694,194745,212396,233539,252867,270494,289358,293979,311972,327810
"DURBRIDGE Luke","AUS","OGE",1482,20277,36411,44937,63873,87963,106928,126254,143595,158486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EIJSSEN Yannick","BEL","BMC",1491,20286,36420,44946,63937,88424,107389,126715,143594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EISEL Bernhard","AUT","SKY",1722,20517,36703,45229,64876,89539,108504,127830,145037,159647,181628,185584,198713,217118,238811,258139,275766,294630,299362,317835,333751
"EVANS Cadel","AUS","BMC",1489,20284,36418,44944,63698,87515,106480,123755,139774,154247,175144,178692,191743,208403,228462,245705,263332,280987,285190,302545,318383
"FARRAR Tyler","USA","GRS",1688,20480,36603,45129,64775,89504,108469,127795,145095,159568,181549,185540,198591,216996,238689,258291,275918,295227,300097,318518,334352
"FEDI Andrea","ITA","NRI",1543,20374,36508,45034,64681,89407,108581,127830,145130,160086,182067,186001,199052,217170,239026,258354,275981,295290,300081,318513,334379
"FELLINE Fabio","ITA","TFR",1542,20337,36460,44986,64072,88801,107766,126654,143207,157680,179451,183407,196519,214924,235867,255195,271914,291223,295716,313709,329668
"FERRARI Roberto","ITA","LAM",1562,20354,36477,45003,64650,89379,108344,127670,144877,159350,181331,185444,198495,216665,238449,258051,275678,294987,299702,318296,334134
"FINETTO Mauro","ITA","NRI",1543,20338,36472,44998,63832,87702,106667,124363,140619,155092,176536,180389,193440,211239,232920,NA,NA,NA,NA,NA,NA
"FISCHER Murilo Antonio","BRA","FDJ",1661,20456,36612,45138,64614,89343,108308,127634,144841,159434,181415,185140,198234,216398,238182,257510,275166,294475,299142,317601,333517
"FLENS Rick","NED","BEL",1610,20405,36563,45089,64481,89818,108783,127822,145029,159690,181671,185380,198453,216571,238264,257592,275219,294083,298658,316874,332740
"FRAPPORTI Marco","ITA","AND",1595,20390,36524,45050,64578,89065,108030,127356,144482,159157,181138,184883,197934,215241,236384,255986,272705,292014,296689,314886,330733
"GASPAROTTO Enrico","ITA","AST",1520,20315,36449,44975,64106,88835,107800,126839,144046,158721,180492,184436,197487,214821,236086,255414,272133,291442,296095,313937,329784
