cod.municipio,homicidios12,homicidios13,poblacion12,poblacion13,tasa.homicidios12,tasa.homicidios13
66075,5,2,6338,6332,0.79,0.32
66088,11,9,27726,27723,0.40,0.32
66170,70,60,193024,194976,0.36,0.31
66318,7,1,15446,15396,0.45,0.06
66383,2,5,8646,8632,0.23,0.58
66400,24,23,31808,31886,0.75,0.72
66440,9,7,22720,22908,0.40,0.31
66456,6,12,15815,15930,0.38,0.75
66572,7,2,12825,12969,0.55,0.15
66594,10,11,33602,33651,0.30,0.33
66682,22,19,71601,71810,0.31,0.26
66687,10,14,15610,15651,0.64,0.89
68001,91,97,526056,526827,0.17,0.18
68013,0,0,1927,1905,0.00,0.00
68020,1,0,4899,4961,0.20,0.00
68051,0,0,8340,8331,0.00,0.00
68077,3,4,27877,28132,0.11,0.14
68079,0,0,7352,7306,0.00,0.00
68081,42,79,191718,191764,0.22,0.41
68092,1,4,5188,5153,0.19,0.78
68101,3,2,12814,12658,0.23,0.16
68121,0,0,2154,2189,0.00,0.00
68132,0,0,1920,1944,0.00,0.00
68147,2,0,5751,5702,0.35,0.00
68152,0,1,5105,5086,0.00,0.20
68160,0,0,1915,1898,0.00,0.00
68162,0,10,5890,5827,0.00,1.72
68167,2,3,10794,10710,0.19,0.28
68169,0,0,2802,2763,0.00,0.00
68176,0,0,3151,3123,0.00,0.00
68179,0,0,5111,5104,0.00,0.00
68190,12,14,41375,42463,0.29,0.33
68207,0,0,5476,5413,0.00,0.00
68209,1,0,2718,2715,0.37,0.00
68211,1,0,3643,3596,0.27,0.00
68217,2,0,7500,7521,0.27,0.00
68229,3,1,11771,11819,0.25,0.08
68235,0,0,19501,19696,0.00,0.00
68245,0,0,2089,2062,0.00,0.00
68250,0,2,5253,5217,0.00,0.38
68255,0,4,12177,12036,0.00,0.33
68264,1,0,2550,2538,0.39,0.00
68266,1,0,3502,3443,0.29,0.00
68271,0,0,6325,6317,0.00,0.00
68276,32,28,263041,263908,0.12,0.11
68296,0,0,2493,2425,0.00,0.00
68298,0,1,5058,5053,0.00,0.20
68307,22,25,166115,170771,0.13,0.15
68318,1,0,6546,6491,0.15,0.00
68320,1,2,4997,4918,0.20,0.41
68322,0,0,2164,2160,0.00,0.00
68324,0,0,3866,3807,0.00,0.00
68327,1,0,3965,3922,0.25,0.00
68344,0,0,2365,2363,0.00,0.00
68368,0,1,3234,3204,0.00,0.31
68370,0,0,1121,1112,0.00,0.00
68377,0,0,8565,8574,0.00,0.00
68385,4,6,15322,15335,0.26,0.39
68397,0,0,5287,5244,0.00,0.00
68406,2,5,36138,36926,0.06,0.14
68418,2,0,11828,11946,0.17,0.00
68425,0,0,2479,2437,0.00,0.00
68432,1,0,18486,18455,0.05,0.00
68444,1,0,5452,5413,0.18,0.00
68464,2,2,10900,10901,0.18,0.18
68468,0,1,5342,5292,0.00,0.19
68498,1,0,4836,4810,0.21,0.00
68500,1,0,11488,11573,0.09,0.00
68502,2,0,5234,5176,0.38,0.00
68522,0,0,3179,3229,0.00,0.00
68524,1,0,2295,2285,0.44,0.00
68533,0,0,3975,4028,0.00,0.00
68547,20,20,139178,142483,0.14,0.14
68549,0,0,4956,5033,0.00,0.00
68572,0,0,13054,12860,0.00,0.00
68573,2,1,7205,7317,0.28,0.14
68575,6,7,31503,31507,0.19,0.22
68615,3,1,27775,27551,0.11,0.04
68655,8,5,19077,18944,0.42,0.26
68669,0,0,8884,8774,0.00,0.00
68673,0,0,3956,3962,0.00,0.00
68679,3,3,44937,45114,0.07,0.07
68682,0,1,2621,2562,0.00,0.39
68684,1,0,4487,4438,0.22,0.00
68686,0,0,2461,2438,0.00,0.00
68689,0,8,34250,34378,0.00,0.23
68705,2,0,2186,2163,0.91,0.00
